group	name	color
Country	USA	#440154
Country	Germany	#482878
Country	Belgium	#3E4A89
Country	UK	#31688E
Country	Japan	#26828E
Country	England	#1F9E89
Country	Ireland	#35B779
Country	Scotland	#6DCD59
Country	Netherlands	#B4DE2C
Country	Vietnam	#FDE725
State	CA	#440154
State	OR	#48186A
State	NC	#472D7B
State	SC	#424086
State	WA	#3B528B
State	GA	#33638D
State	MS	#2C728E
State	USA	#26828E
State	Germany	#21908C
State	Belgium	#1F9F88
State	UK	#27AD81
State	Japan	#3EBC74
State	England	#5DC863
State	Ireland	#82D34D
State	Scotland	#AADC32
State	Netherlands	#D5E21A
State	Vietnam	#FDE725
