isolate_id	lineage	model	sra_run	release_date	center_name	location	host	year
9D1	NA1	Illumina HiSeq 3000	SRR6015279	2/5/2018 9:09	USDA ARS			
BS2014-584	NA1	Illumina HiSeq 4000	SRR6015280	2/5/2018 9:09	USDA ARS			
BS96	NA1	Illumina HiSeq 4000	SRR6015291	2/5/2018 9:09	USDA ARS			
CC1008	EU1	Illumina HiSeq 2500	SRR4294694	10/1/2016 0:00	UNIVERSITY OF EXETER			
CC1011	EU1	Illumina Genome Analyzer II	SRR610384	1/15/2013 0:00	UNIVERSITY OF EXETER			
CC1033	EU1	Illumina HiSeq 2500	SRR4294695	10/1/2016 0:00	UNIVERSITY OF EXETER			
CC1048_b	EU1	Illumina HiSeq 2000	SRR4309669	10/1/2016 0:00	UNIVERSITY OF EXETER			
CC1048_a	EU1	Illumina HiSeq 2000	SRR610903	1/15/2013 0:00	UNIVERSITY OF EXETER			
CC12475_b	EU1	Illumina HiSeq 2500	SRR4294700	10/1/2016 0:00	UNIVERSITY OF EXETER			
CC12475_a	EU1	Illumina HiSeq 2000	SRR610900	1/15/2013 0:00	UNIVERSITY OF EXETER			
CC14654_b	EU1	Illumina HiSeq 2500	SRR4294701	10/1/2016 0:00	UNIVERSITY OF EXETER			
CC14654_a	EU1	Illumina HiSeq 2000	SRR610902	1/15/2013 0:00	UNIVERSITY OF EXETER			
CC2168	EU1	Illumina HiSeq 2500	SRR4294696	10/1/2016 0:00	UNIVERSITY OF EXETER			
CC2176	EU1	Illumina HiSeq 2500	SRR4294697	10/1/2016 0:00	UNIVERSITY OF EXETER			
CC2184_b	EU1	Illumina HiSeq 2500	SRR4294702	10/1/2016 0:00	UNIVERSITY OF EXETER			
CC2184_a	EU1	Illumina HiSeq 2000	SRR610901	1/15/2013 0:00	UNIVERSITY OF EXETER			
CC2186	EU1	Illumina HiSeq 2500	SRR4294698	10/1/2016 0:00	UNIVERSITY OF EXETER			
CC2187	EU1	Illumina HiSeq 2500	SRR4294699	10/1/2016 0:00	UNIVERSITY OF EXETER			
CC2275	EU1	Illumina Genome Analyzer II	SRR610383	1/15/2013 0:00	UNIVERSITY OF EXETER			
EU2_996_3	EU2	Illumina HiSeq 2000	SRR639372	1/15/2013 0:00	UNIVERSITY OF EXETER			
MK516a_b	NA1	Illumina HiSeq 3000	SRR6015274	2/5/2018 9:09	USDA ARS			
MK516d	NA1	Illumina HiSeq 2500	SRR2141253	10/12/2015 0:00	USDA ARS			
MK649a	NA1	Illumina HiSeq 2500	SRR2141254	10/12/2015 0:00	USDA ARS			
MK79j	NA1	Illumina HiSeq 2500	SRR2141255	10/12/2015 0:00	USDA ARS			
Plat_MPF4	lateralis	Illumina HiSeq 2000	SRR610737	7/22/2015 17:07	UNIVERSITY OF EXETER			
Plat_MPF6	lateralis	Illumina HiSeq 2000	SRR610738	7/22/2015 17:07	UNIVERSITY OF EXETER			
Pram_03_0002_EU1	EU1	Illumina HiSeq 2000	SRR8327051	1/8/2019 17:03	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2003
Pram_03-0107_EU1	EU1	Illumina HiSeq 2000	SRR8327050	1/9/2019 11:01	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2003
Pram_04-0002_NA1	NA1	Illumina HiSeq 2000	SRR8327084	1/9/2019 11:05	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Camellia sp.	2004
Pram_04-17031_EU1	EU1	Illumina HiSeq 2000	SRR8327049	1/9/2019 11:01	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2004
Pram_04-20470_NA2	NA2	Illumina HiSeq 2000	SRR8327053	1/9/2019 11:05	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2010
Pram_04-2231_NA1	NA1	Illumina HiSeq 2000	SRR8327087	1/8/2019 17:00	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Camellia japonica	2004
Pram_04-22572_NA1	NA1	Illumina HiSeq 2000	SRR8327086	1/9/2019 11:10	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2004
Pram_04-35009_NA1	NA1	Illumina HiSeq 2000	SRR8327089	1/8/2019 17:01	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Gaultheria sp.	2004
Pram_04-38813_NA2	NA2	Illumina HiSeq 2000	SRR8327029	1/8/2019 17:00	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Viburnum tinus	2004
Pram_05-16845_NA2	NA2	Illumina HiSeq 2000	SRR8327028	1/8/2019 17:03	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Ardisia sp.	2005
Pram_05-9611_NA2	NA2	Illumina HiSeq 2000	SRR8327031	1/9/2019 10:59	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Viburnum sp.	2005
Pram_06-0012_NA2	NA2	Illumina HiSeq 2000	SRR8327030	1/9/2019 11:05	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Soil sample	2006
Pram_06-4942_NA2	NA2	Illumina HiSeq 2000	SRR8327025	1/9/2019 10:58	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Distyllium Myricoides	2006
Pram_07-13013_EU1	EU1	Illumina HiSeq 2000	SRR8327048	1/9/2019 11:05	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2007
Pram_07-17204_NA2	NA2	Illumina HiSeq 2000	SRR8327024	1/8/2019 17:03	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Gaultheria sp.	2007
Pram_08-0688_NA2	NA2	Illumina HiSeq 2000	SRR8327027	1/9/2019 11:05	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2008
Pram_08-2933_EU1	EU1	Illumina HiSeq 2000	SRR8327047	1/8/2019 17:01	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Pieris japonica	2008
Pram_09-4390_NA2	NA2	Illumina HiSeq 2000	SRR8327026	1/8/2019 16:59	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Camellia sp.	2009
Pram_09-4415_NA2	NA2	Illumina HiSeq 2000	SRR8327023	1/8/2019 17:01	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2009
Pram_10-3885_NA2	NA2	Illumina HiSeq 2000	SRR8327022	1/9/2019 11:05	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Leucothoe fontanesia	2010
Pram_10-4389a_NA2	NA2	Illumina HiSeq 2000	SRR8327094	1/9/2019 11:05	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2010
Pram_10-5341b_EU1	EU1	Illumina HiSeq 2000	SRR8327046	1/8/2019 16:58	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2010
Pram_10-6342a_NA1	NA1	Illumina HiSeq 2000	SRR8327088	1/8/2019 17:01	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2010
Pram_11-1291_NA2	NA2	Illumina HiSeq 2000	SRR8327095	1/9/2019 11:01	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	unknown	2011
Pram_11-263_NA1	NA1	Illumina HiSeq 2000	SRR8327091	1/8/2019 17:00	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	Rhododendron sp.	2011
Pram_11-301_EU1	EU1	Illumina HiSeq 2000	SRR8327045	1/9/2019 10:59	UNIVERSITY OF BRITISH COLUMBIA	BC, Canada	unknown	2011
Pram_132_EU1	EU1	Illumina HiSeq 2000	SRR8327044	1/9/2019 11:05	UNIVERSITY OF BRITISH COLUMBIA	France	Rhododendron cheer	2006
Pram_24_EU1	EU1	Illumina HiSeq 2000	SRR8327043	1/9/2019 11:10	UNIVERSITY OF BRITISH COLUMBIA	France	Rhododendron germania	2002
Pram_30_EU1	EU1	Illumina HiSeq 2000	SRR8327042	1/8/2019 16:59	UNIVERSITY OF BRITISH COLUMBIA	France	Viburnum tinus	2003
Pram_33_EU1	EU1	Illumina HiSeq 2000	SRR8327037	1/8/2019 17:01	UNIVERSITY OF BRITISH COLUMBIA	France	Rhododendron scyphocalix	2003
Pram_4_EU1	EU1	Illumina HiSeq 2000	SRR8327036	1/9/2019 11:05	UNIVERSITY OF BRITISH COLUMBIA	France	Viburnum tinus	2002
Pram_62_EU1	EU1	Illumina HiSeq 2000	SRR8327039	1/9/2019 11:05	UNIVERSITY OF BRITISH COLUMBIA	France	Rhododendron sp.	2004
Pram_73_EU1	EU1	Illumina HiSeq 2000	SRR8327038	1/8/2019 17:01	UNIVERSITY OF BRITISH COLUMBIA	France	Rhododendron sp.	2005
Plat_RH_5	lateralis	Illumina HiSeq 2000	SRR870500	5/30/2013 17:31	BCCAGSC			
Plat_SMST21	lateralis	Illumina HiSeq 2000	SRR610739	7/22/2015 17:07	UNIVERSITY OF EXETER			
Plat_SMSTG	lateralis	Illumina HiSeq 2000	SRR639371	1/15/2013 0:00	UNIVERSITY OF EXETER			
MK649b	NA1	Illumina HiSeq 2500	SRR2141225	10/12/2015 0:00	USDA ARS			
MK106	NA1	Illumina HiSeq 2500	SRR2141226	10/12/2015 0:00	USDA ARS	San Mateo	Quercus agrifolia	2008
MK548	NA1	Illumina HiSeq 2500	SRR2141227	10/12/2015 0:00	USDA ARS			
MK558	NA1	Illumina HiSeq 2500	SRR2141228	10/12/2015 0:00	USDA ARS			
ND886_QA_7	NA1	Illumina HiSeq 2500	SRR2141232	10/12/2015 0:00	USDA ARS			
ND886_QA_9	NA1	Illumina HiSeq 2500	SRR2141233	10/12/2015 0:00	USDA ARS			
ND886_RH_8	NA1	Illumina HiSeq 2500	SRR2141235	10/12/2015 0:00	USDA ARS			
ND886_VT_7	NA1	Illumina HiSeq 2500	SRR2141236	10/12/2015 0:00	USDA ARS			
ND886_UC_1	NA1	Illumina HiSeq 2500	SRR2141237	10/12/2015 0:00	USDA ARS			
ND886_RH_11	NA1	Illumina HiSeq 2500	SRR2141238	10/12/2015 0:00	USDA ARS			
ND886	NA1	Illumina HiSeq 2500	SRR2141243	10/12/2015 0:00	USDA ARS			
MK516a_a	NA1	Illumina HiSeq 2500	SRR2141244	10/12/2015 0:00	USDA ARS			
Phibe	hibernalis							
Pfoli	foliorum							
7885-A8	NA1							
7885-B8	NA1							
7885-C8	NA1							
7885-D8	NA2							
7885-E8	NA2							
7885-F8	NA2							
7885-G8	NA2							
7885-H8	NA2							
7885-A9	EU1							
7885-B9	EU1							
7885-C9	EU2							
7885-D9	EU2							
7885-E9	EU2							
7885-F9	EU2							
7612-D1	NA1							
7612-B3	NA1							
7612-F3	NA1							
7612-E1	NA1							
7612-A11	NA1							
7612-D9	NA1							
7612-C9	NA1							
7612-F2	NA1							
7612-G8	NA1							
7881-H11	NA1							
7612-G3	NA1							
7612-A1	NA1							
7612-H4	NA1							
7612-D7	NA1							
7612-D3	NA1							
7612-E3	NA1							
7612-D2	NA1							
7612-E9	NA1							
7612-E4	NA1							
7612-D5	NA1							
7612-A3	NA1							
7612-B9	NA1							
7612-F7	NA1							
7612-E6	NA1							
7612-G6	NA1							
7612-B10	NA1							
7612-E2	NA1							
7612-H11	NA1							
