isolate	Year	Source	County	BioSample	SRA	Read 1 (bp)	Read 2 (bp)	Read pairs	Platform
CC12475	2007	Soil	Cornwall	SAMN01797768	SRX202256	73	73	10929957	HiSeq 2000
CC14654	2009	Leaf detritus	Cornwall	SAMN01797770	SRX202259	73	73	32069494	HiSeq 2000
CC2184	2004	Taxus sp.	Cornwall	SAMN01797769	SRX202257	73	73	26720144	HiSeq 2000
CC1008	2002	Rhododendron sp.	West Sussex	SAMN05823577	SRX2190141	100	80	35377462	HiSeq 2000
CC1033	2002	Viburnum sp.	Dorset	SAMN05823579	SRX2190142	100	80	29037290	HiSeq 2000
CC1048	2002	Viburnum sp.	Gloucestershire	SAMN01797771	SRX202261	73	73	19206505	HiSeq 2000
CC2168	2009	Camellia sp.	Cornwall	SAMN05823583	SRX2190143	100	80	31267535	HiSeq 2000
CC2176	2009	Pieris sp.	Cornwall	SAMN05823584	SRX2190144	100	80	32285291	HiSeq 2000
CC2186	2009	Rhododendron sp.	Devon	SAMN05823586	SRX2190145	100	80	22816927	HiSeq 2000
CC2187	2009	Rhododendron sp.	Cornwall	SAMN05823587	SRX2190146	100	80	28439345	HiSeq 2000
CC2275	2004	Laurus nobilis	Cornwall	SAMN01797766	SRX202258	100	100	94913722	GA IIx
CC1011	2002	Rhododendron sp.	Cheshire	SAMN01797767	SRX202260	100	100	191582259	GA IIx
